"date","tau","K","call_option_price","S","r","put_option_price"
"2014-01-02",16,1735,98.6,1831.98,0.0018,2.175
"2014-01-02",16,1740,93.9,1831.98,0.0018,2.175
"2014-01-02",16,1745,88.85,1831.98,0.0018,2.525
"2014-01-02",16,1750,84.05,1831.98,0.0018,2.6
"2014-01-02",16,1755,79.4,1831.98,0.0018,2.825
"2014-01-02",16,1760,74.75,1831.98,0.0018,3.25
"2014-01-02",16,1765,69.95,1831.98,0.0018,3.55
"2014-01-02",16,1770,65.35,1831.98,0.0018,3.95
"2014-01-02",16,1775,60.6,1831.98,0.0018,4.35
"2014-01-02",16,1780,56.3,1831.98,0.0018,4.8
"2014-01-02",16,1785,51.9,1831.98,0.0018,5.35
"2014-01-02",16,1790,47.45,1831.98,0.0018,6
"2014-01-02",16,1795,43.2,1831.98,0.0018,6.6
"2014-01-02",16,1800,39.05,1831.98,0.0018,7.5
"2014-01-02",16,1805,35,1831.98,0.0018,8.5
"2014-01-02",16,1810,31.05,1831.98,0.0018,9.6
"2014-01-02",16,1815,27.4,1831.98,0.0018,10.85
"2014-01-02",16,1820,23.95,1831.98,0.0018,12.4
"2014-01-02",16,1825,20.95,1831.98,0.0018,14.05
"2014-01-02",16,1830,17.8,1831.98,0.0018,16.05
"2014-01-02",16,1835,15,1831.98,0.0018,18.1
"2014-01-02",16,1840,12.45,1831.98,0.0018,20.6
"2014-01-02",16,1845,10.15,1831.98,0.0018,23.6
"2014-01-02",16,1850,8.2,1831.98,0.0018,26.65
"2014-01-02",16,1855,6.55,1831.98,0.0018,29.9
"2014-01-02",16,1860,5.05,1831.98,0.0018,33.5
"2014-01-02",16,1865,3.85,1831.98,0.0018,37.6
"2014-01-02",16,1870,3.025,1831.98,0.0018,41.7
"2014-01-02",16,1875,2.325,1831.98,0.0018,45.95
"2014-01-02",16,1880,1.7,1831.98,0.0018,50.45
"2014-01-02",36,1740,97.7,1831.98,0.0022,7.6
"2014-01-02",36,1745,93.4,1831.98,0.0022,8.05
"2014-01-02",36,1750,89,1831.98,0.0022,8.55
"2014-01-02",36,1755,84.6,1831.98,0.0022,9.15
"2014-01-02",36,1760,80.25,1831.98,0.0022,9.8
"2014-01-02",36,1765,75.95,1831.98,0.0022,10.45
"2014-01-02",36,1770,71.5,1831.98,0.0022,11.25
"2014-01-02",36,1775,67.3,1831.98,0.0022,12.05
"2014-01-02",36,1780,63.3,1831.98,0.0022,13
"2014-01-02",36,1785,59.3,1831.98,0.0022,13.95
"2014-01-02",36,1790,55.3,1831.98,0.0022,14.95
"2014-01-02",36,1795,51.6,1831.98,0.0022,16.2
"2014-01-02",36,1800,47.95,1831.98,0.0022,17.45
"2014-01-02",36,1805,44.2,1831.98,0.0022,18.75
"2014-01-02",36,1810,40.55,1831.98,0.0022,20.15
"2014-01-02",36,1815,37.3,1831.98,0.0022,21.7
"2014-01-02",36,1820,33.95,1831.98,0.0022,23.5
"2014-01-02",36,1825,30.85,1831.98,0.0022,25.45
"2014-01-02",36,1830,27.85,1831.98,0.0022,27.25
"2014-01-02",36,1835,25.05,1831.98,0.0022,29.5
"2014-01-02",36,1840,22.3,1831.98,0.0022,31.75
"2014-01-02",36,1845,19.85,1831.98,0.0022,34.35
"2014-01-02",36,1850,17.45,1831.98,0.0022,37
"2014-01-02",36,1855,15.35,1831.98,0.0022,39.8
"2014-01-02",36,1860,13.35,1831.98,0.0022,43
"2014-01-02",36,1865,11.55,1831.98,0.0022,46.2
"2014-01-02",36,1870,9.9,1831.98,0.0022,49.6
"2014-01-02",36,1875,8.6,1831.98,0.0022,53.2
"2014-01-02",36,1880,7.25,1831.98,0.0022,56.45
"2014-01-02",36,1885,6.1,1831.98,0.0022,60.4
"2014-01-02",36,1890,5.2,1831.98,0.0022,64.5
"2014-01-02",36,1895,4.4,1831.98,0.0022,68.7
"2014-01-02",36,1900,3.75,1831.98,0.0022,73.25
"2014-01-02",36,1905,3.125,1831.98,0.0022,77.9
"2014-01-02",36,1910,2.7,1831.98,0.0022,82.3
"2014-01-02",36,1915,2.25,1831.98,0.0022,86.85
"2014-01-02",36,1920,1.9,1831.98,0.0022,91.65
"2014-01-02",36,1925,1.65,1831.98,0.0022,96.35
"2014-01-03",15,1735,97.25,1831.37,0.0018,1.625
